,abstract,ano,doi,keywords,periodico,titulo
10,"Highlights•Social CRM capability is critical when firms merge social media into marketing strategies to improve firm performance.•The study expands the generalizability of social CRM capabilities’ impact on performance with cross-industry data.•Social media usage plays a moderating role by amplifying the positive impact of social CRM capabilities on firm performance.Social media usage has become ubiquitous, and organizations need to manage this tool to meet their strategic goals. Companies are finding it necessary to modify their approach to customer relationship management (CRM) and develop new marketing capabilities that facilitate customer satisfaction. The purpose of this study is to examine how social media usage can help firms build new CRM capabilities and thus improve marketing adoption strategies and business performance. We suggest that social CRM capability is critical when companies merge social media into their marketing strategies to improve customer engagement and firm performance. We empirically analyze data from 232 companies using Facebook, COMPUSTAT North America, and Global Fundamentals annual databases for the period 2004–2014. This study contributes to extant literature by confirming a new form of CRM capabilities – social CRM – using the resource-based view and dynamic capabilities theory frameworks, and by demonstrating that social media usage plays a moderating role by amplifying the positive impact of social CRM capabilities on firm performance.",2017,https://doi.org/10.1016/j.intmar.2017.02.004,"['Social media marketing', 'Dynamic capabilities', 'Social customer relationship management (social CRM)', 'Marketing capabilities', 'Customer engagement']",Journal of Interactive Marketing,Can Social Media Marketing Improve Customer Relationship Capabilities and Firm Performance? Dynamic Capability Perspective
11,"Highlights•Big Data technology is useful yielding specific guest profiles from CRM hotel information.•Proportion differences using Bootstrap resampling yield detailed characterization of the client profile.•Repeaters included features such as traveling without children.•Repeaters were similar between German and English but different from Spanish.•German and English included the elderly staying for longer periods whereas Spanish were short-term and younger ones.Client knowledge remains a key strategic point in hospitality management. However, the role that can be played by large amounts of available information in the Customer Relationship Management (CRM) systems, when addressed by using emerging Big Data techniques for efficient client profiling, is still in its early stages. In this work, we addressed the client profile of the data in a CRM system of an international hotel chain, by using Big Data technology and Bootstrap resampling techniques for Proportion Tests. Strong consistency was found on the most representative feature of repeaters being traveling without children. Profiles were more similar for British and German clients, and their main differences with Spanish clients were in the stay duration and in age. For a vacation chain, these results suggest further analysis on the target orientation towards new market segments. Big Data technologies can be extremely useful for analyzing indoor data available in CRM information systems from hospitality industry.",2018,https://doi.org/10.1016/j.tourman.2018.03.017,"['Big data', 'Hospitality industry', 'Customer relationship management', 'Client profile', 'Bootstrap resampling', 'Hotel chains']",Tourism Management,Using big data from Customer Relationship Management information systems to determine the client profile in the hotel sector
12,"The transition from a product-centric to a customer-centric business culture has been the subject of debate and research for more than a decade and in recent years many inquiries have been made about Customer Relationship Management. However, the main body of research around CRM was carried out in an environment quite different from the actual one. Apart from the possibilities and prospects that accompany new technologies and the new generation of Media, the big change stems from the strength gained by the contemporary Social Consumer which brings firms to operate within a Customer Ecosystem. Traditional CRM is morphing to Social CRM and the key concept in this new marketing and business environment is Customer Engagement. This is accompanied by the Involvement of the customer to a new type of relationship with the enterprise, characterized by co-creation of knowledge, offers, products and value. The present study attempts to estimate the degree to which the effectiveness of the so far (traditional) CRM practices, that are reflected on the customer-performance measures, affect the possibilities of Customer Engagement. The results show that the level of Customer Overall Satisfaction and Customer Affective Commitment to the bank, as well as the active Social Media Presence of the bank, should be considered as significant determinants of customer's willingness to get involved in a new type of relation with the bank.",2014,https://doi.org/10.1016/j.sbspro.2014.07.018,"['CRM', 'Engagement', 'Involvement Willingnes', 'Social CRM', 'Social Media (Web)', 'Web 2.0']",Procedia - Social and Behavioral Sciences,Customer Relationship Management in the Era of Social Web and Social Customer: An Investigation of Customer Engagement in the Greek Retail Banking Sector
13,"Customer relationship management (CRM) is a customer-centric business strategy which a company employs to improve customer experience and satisfaction by customizing products and services to customers' needs. This strategy, when implemented in totality eventually increases the revenue of the company. Traditionally, data mining (DM) techniques have been applied to solve various analytical CRM tasks. In turn, optimization techniques have long been used for training some of the DM techniques. However, during the past few years, evolutionary techniques have become so powerful and versatile that they can be deployed as a substitute for some DM techniques. This trend caught the attention of the researchers working in the analytical CRM area as they too started solving the CRM tasks using evolutionary techniques alone. In this context, we present a survey of evolutionary computing techniques applied to CRM tasks. In this paper, we surveyed 78 papers that were published during 1998 and 2015, where the application of evolutionary computing (EC) techniques to analytical CRM tasks is the main focus. The survey includes papers involving evolutionary computing techniques applied to the analytical CRM tasks under single- as well as multi-objective optimization framework. The purpose of the survey is to let the reader realize the versatility and power of EC techniques in solving analytical CRM tasks in the service industry and suggesting future directions.",2016,https://doi.org/10.1016/j.engappai.2016.08.012,"['Customer relationship management', 'Data mining', 'Evolutionary computing', 'Optimization']",Engineering Applications of Artificial Intelligence,Evolutionary computing applied to customer relationship management: A survey
14,"Companies can improve their customer relationships and business performance via analytical applications such as estimation of customer lifetime value (CLV) and profitability, customer profiling and classification, customer retention and churn analyses. Customer Relationship Management (CRM) tools can now have access to relationship and interaction data of the customers, besides the traditional data sets such as billing information. While there has been a sharp increase in mining social and interaction data, integration of this information with the current data analytical models is limited. In this paper, we develop a new model for estimating the customer lifetime value in airline industry that integrates customers' social network and flight information. We first adopt a regression model for airline customers that can be used to estimate their CLVs. We then present a methodology to enhance this base model with customers' social network information to incorporate indirect contributions the customers make. We compare the performances of both models to show that our proposed method may improve the accuracy and reliability of models that make use of only flight related factors. We provide examples to potential customer analyses using our models for use by airline CRM applications.",2018,https://doi.org/10.1016/j.jairtraman.2017.10.007,"['Social network analysis', 'Regression and classification models', 'Time series', 'Forecasting methods', 'Customer profiling', 'Data analytics', 'Customer relationship management']",Journal of Air Transport Management,Airline customer lifetime value estimation using data analytics supported by social network information
15,"The epistemological positioning of scientific approach involves the diversity of the viewpoints of academics and specialists, exclusiveness not being considered. This paper aims to reflect own contributions to the development of management theory and management practice in Romania. First of all, the proposed scientific approach is a positivist approach, because it envisages the interposition of own reflections, an observation of what is happening in the market, an authentic presentation as it is. The main objective of this scientific research is to highlight the importance of social media as a mean of business development by creating new opportunities through promotion and a better brand visibility in the market. In the literature we have outlined a number of methods to assess the way in which companies approach the CRM: call method, the interview, the questionnaire, etc. Quantitative investigation of this paper was conducted based on assessment questionnaire, addressed to the employees of some Romanian companies. The qualitative investigation was conducted at the end of the research, based on analysis and structuring the information obtained. In this paper there were analyzed three elements: management position with the implementation of a CRM system; CRM to SCRM transition and the use of the new SM technologies in the implementation of a CRM system; applying of a SCRM system using social media platforms. As a result of the conducted study it was found that the media is one of the main trainers of public opinion, if not the main, controlling the public sphere. It conveys information, but also it controls and steers the public opinion. Thus, SM can form quickly enough media crisis to lower the public favorability for certain companies or politicians. In this way, by resorting to specific Social Media tools, the companies can obtain crucial information for evaluating the consumer satisfaction, information that would be more difficult to obtain traditionally.",2016,https://doi.org/10.1016/S2212-5671(16)30270-2,"['customer relationship management', 'companies', 'economic performance']",Procedia Economics and Finance,Exploratory Study of the Companies’ Economic Performance Using a Social Customer Relationship Management
16,"Highlights•We model strategic social CRM through a range of five current, adapted and new constructs.•Social media technology use construct is new and measures the use of social media technologies.•Customer engagement initiatives construct is new and measures two-way organisation–customer interaction.•Customer relationship orientation and social media technology use combine to form dynamic capabilities.•Relational information processes are viewed as appropriate performance outcomes in social CRM influence customer relationship performance.Customer relationship management is a continually evolving domain that has been particularly affected by social media, which have revolutionised the way businesses and consumers interact. This paper on social CRM builds on a previous model of CRM prior to the growth of social media (Jayachandran et al., 2005). We present a new model for social CRM, including a new construct of customer engagement initiatives and adaptations of other constructs to cater for the impact of social media. An online survey was used to collect data from a population of marketing practitioners and partial least squares analysis was used to test the model. Findings show the importance of an underlying customer relationship orientation; how it impacts on social media technology use and customer engagement initiatives, and also directly on customer relationship performance. A relationship is also shown between engagement and relational information processes, which is viewed as a performance outcome of social CRM. Thus, from a managerial perspective, one recommendation we make is that organisations should utilise the rich customer information that is created with every customer engagement through social media to drive future marketing decisions.Chinese abstract客户关系管理领域不断发展并尤其受到社交媒体的影响，后者已经彻底改变了企业与消费者的互动方式。本文的社交型CRM建立在社交媒体尚未兴起时的CRM模型基础上（Jayachandran，Sharma，Kaufman & Raman，2005年）。我们提出了一个新的社交型CRM模型，包括构建客户互动活动的新结构，改编其他结构以配合社交媒体的影响。本文的数据来源于市场营销从业者做的在线调查，并用偏最小二乘法来检验模型。结果指出了潜在的客户关系导向的重要性以及客户关系导向对社交媒体技术使用和客户关系管理绩效的直接影响。本文还指出了参与度和关系信息流程之间的联系，这一联系被视为社交型CRM的绩效结果。因此，本文给出的管理建议是，各机构应当利用客户使用社交媒体产生的丰富信息，以推动未来的营销决策。",2015,https://doi.org/10.1016/j.ausmj.2014.11.001,"['Customer relationship management (CRM)', 'Social media', 'Customer engagement', 'Information processes']",Australasian Marketing Journal (AMJ),Modelling CRM in a social media age
17,"Highlights•We identify six management issues for social networks and justify our contributions.•We have developed SocialNetwork API to extract and process data from Facebook.•Outputs of our analysis are in analytics with six different functions.•SocialNetwork API was tested thoroughly to confirm its resiliency.•We justified our research contributions for Big Data Analytics by SocialNetwork API.This paper presents an important concept of Internet of People, a social network analysis approach to perform Big Data Analytics. The paper describes the development, management implications and analysis. To illustrate six points in the management issues, an in-house development of a SocialNetwork API with six functions has been demonstrated. The proposed method is focused on processing the contacts who click like or comment on the author's posts, as well as the queries and visualization. Results can be extracted and presented in data visualization. Six functions in the SocialNetwork API have evaluation tests, including a large scale of 50,000 simulations completed within 60,000 s. Results support our case of Big Data processing for social network analysis can be equivalent to CRM, ERP and MIS. Additionally, there are no costs involved. Related topics have been discussed in details. Our research contributions have been consolidated since our work have met research challenges for social network analysis and six management implications.",2018,https://doi.org/10.1016/j.techfore.2017.11.002,"['SocialNetwork API', 'Social network analysis platform', 'Data visualization', 'Large scale simulations for APIs', 'Management issues for social networks']",Technological Forecasting and Social Change,A proposed social network analysis platform for big data analytics
18,"In the early 2000s, several practitioners and authors have predicted the overshadowing of customer relationship management (CRM) systems by what is called enterprise resource planning systems II (ERP II). ERP II was envisioned to virtually cover all the processes within organizations from supply chain, CRM, to e-business. In 2000, Gartner group published an article titled “ERP is dead, long live ERP” in which they argued that in near future, ERP systems will overcome the need for other specialized systems (e.g. CRM). While there have been major advances in ERP systems since then, and the fact that most current ERP systems include CRM modules and applications, however, separate CRM systems are still widely adopted by organizations. Thus, this research attempts to investigate the main reasons that motivate organizations to invest in distinct CRM systems instead of using the CRM related modules in the acquired ERP system. Via a multiple case study, our results show that ERP II as envisioned, is not existent yet. Organizations tend to prefer separate CRM systems. Thus, we have developed four main reasons for this preference, which are: scoping during ERP implementations, costs, features, user-friendliness and ease of use. This paper, ultimately, leaves space for further research.",2017,https://doi.org/10.1016/j.procs.2017.11.123,"['CRM Systems', 'ERP Systems', 'ERP II', 'Implementations']",Procedia Computer Science,ERP II is Dead- Long Live CRM
19,"Highlights•Determining the effective factors for the effectiveness of the E-CRM systems.•Evaluating the impact of cost, technology and employees' satisfaction on the E-CRM systems.•Exploring future challenges for the E-CRM systems.Internet technology enables companies to capture new customers, track their performances and online behavior, and customize communications, products, services, and prices. Customer relationship management (CRM) is an important concept to maintain competitiveness at e-commerce. The issue of electronic customer relationship management (E-CRM) has increasingly become the identification of the success of the CRM implementation. The E-CRM has emerged as one of the most prominent information system that enables organizations to contact customers and collect, store and analyze customer data in order to provide a comprehensive view of their customers. Organization can obtain competitive advantages from increase effectiveness of the E-CRM. This research proposes determining the effective factors (cost, technology acceptance and employees' satisfaction) for the effectiveness of the E-CRM. The structural equation modeling technique was used to evaluate the causal model and to examine the reliability and validity of the measurement model. The results of gathered data from 210 employees of the East Azerbaijan Tax Administration in iran is indicated that the impact of the technology acceptance on organization performance begins with infrastructure capability, ease of use, and E-learning systems, and the complementarity between these factors positively influences the effectiveness of the E-CRM. The results also indicated that the customer costs positively affects on the customer relationship performance, which consequently leads to improvements of the effectiveness of the E-CRM in organization. Our findings show that each of cost, technology acceptance and satisfaction employee plays an important role toward in effectiveness of the E-CRM.",2016,https://doi.org/10.1016/j.chb.2015.10.036,"['E-CRM', 'Cost', 'Technology acceptance', 'Satisfaction', 'Effectiveness']",Computers in Human Behavior,"The impact of cost, technology acceptance and employees' satisfaction on the effectiveness of the electronic customer relationship management systems"
20,"The subject of study is to show CRM (Customer Relationship Management) Systems as technological resources, that properly implemented, can empower the companies’ management skills embodied in an efficient market segmentation strategy. This analysis is based on the case study of VIPs Group, thanks to structured interviews with the head of the Customer's Area. We explain the organization's practices as well as the adoption of their CRM system, from early steps to their implementation and use. Through the use of this technology, companies identify both threats and achieved strengths, materialized in dynamic capabilities. The smart use of these systems allows combining different resources in order to provide new capabilities used to increase the target audience, clients who demands company's products or services, and focusing on their needs.",2014,https://doi.org/10.1016/j.protcy.2014.10.101,"['Customer Relationship Management', 'market segmentation', 'customer experience']",Procedia Technology,The Contribution of CRMs to the Ability of Market Segmentation: The Case of the VIPS Group
21,"Highlights•Proposing a novel framework for segmentation of fan page users in social networks.•Utilizing different methodologies such as data mining, sentiment analysis and CRM.•Considering engagement factors such as Polarity for the first time in segmentation.•The potential to provide a practical foundation for future research in this scope.•Providing useful insights about monitoring and management of fan pages.In recent years, online social networks have raised the attention of scholars and practitioners to study different aspects of these huge data resources to provide useful insights. In this study, a novel framework for segmentation of fan page users in online social networks is proposed based on the features of post popularity including Likes, Comments, and Polarity. Authors have used different methods including data mining, sentiment analysis and CRM to develop the proposing framework. A case study has been conducted and a set of 100 post’s data is extracted from a music band fan page in Facebook to evaluate the framework. Results show that user segmentation led to formation of 4 groups of users having interesting interpretations namely, The Apathetic, Staunch, Ordinary, and Lazy fans. Outcomes of this research are useful for every business owner for improving marketing and customer engagement strategies on social networking sites such as Facebook.",2015,https://doi.org/10.1016/j.chb.2015.03.080,"['LCP segmentation', 'Online social networks', 'Social CRM', 'Music marketing', 'Customer engagement', 'Facebook']",Computers in Human Behavior,LCP segmentation: A framework for evaluation of user engagement in online social networks
22,"Conventional customer relationship management (CRM) is typically based on RFM model, whose parameters are the recency, frequency and monetary aspects of target customers. The latest comprehensive analysis has enabled CRM to present parameters with time series. For example, researchers can account for changing trends based on an RFM model for flexible marketing strategies. Such changes might inspire telecommunication service scenarios that user value relies on long-term performance. In this study, we propose a statistic-based approach to value latent users via time series segmenting time interval of RFM in large scale data set. Apart from utilizing in Spark platform, we integrate multiple corresponding analysis (MCA) to regularize clustering results by the RFM model and extend these approaches to multiple levels. A comprehensive set of experiments, revealed interesting observations regarding the co-existence of time interval and RFM model. First, the clustering method along time interval in three dimensions of the RFM model outperforms the method along the three dimensions in each interval. Subsequently, the cooperation of RFM and MCA provides a convenient methodology for exploring CRM in large–scale data. Therefore, the RFM model with time intervals integrated with MCA in CRM are essential.",2017,https://doi.org/10.1016/j.knosys.2017.05.027,"['CRM', 'RFM', 'Large–scale data', 'MCA', 'Time interval']",Knowledge-Based Systems,Statistics-based CRM approach via time series segmenting RFM on large scale data
23,"Highlights•A new construct of maladaptive technology dependence behaviors (MTDB) is developed.•Media system dependency theory is used to propose a theoretical framework.•Antecedents and consequences of MTDB are tested in the context of sales profession.•Practical implications for organizational use of mobile social networking are offered.•Directions for future maladaptive technology research are suggested.This study investigates technology dependence associated with the work-related use of mobile social networking (MSN) by salespeople. A scale for maladaptive technology dependence behaviors (MTDB) is developed and empirically validated using survey data from 242 mid-level sales managers in the US. Personal and job-related antecedents, as well as consequences of MTDB for sales outcomes, are also examined. Results suggest that emotional attachment to MSN and perceptions of its greater affordances for task accomplishment may lead to maladaptive behaviors of overreliance on MSN for job completion, blind trust, cognitive absorption and dysfunctional use. These associations increase in organizations with competitive psychological climate. Findings also show that using MSN for prospecting does not lead to maladaptive dependence, as opposed to using it for customer relationship maintenance. Salespeople using MSN for relationship maintenance exhibit more maladaptive behaviors if they experience work-related role stress. Finally, salespeople who exhibit MTDB are less likely to complete their assignments and participate in teamwork. These findings provide tools for organizations to develop technology use policies, design sales training, and enhance the work environment. Future studies can examine dependencies on others types of technologies (CRM, marketing automation, etc.), and in other contexts (online retailing, social media analytics, etc.)",2018,https://doi.org/10.1016/j.chb.2017.12.025,"['Mobile social media', 'Professional sales', 'Maladaptive technology dependence', 'Technology addiction', 'Dark side of social networking']",Computers in Human Behavior,Mobile social networking and salesperson maladaptive dependence behaviors
24,"Highlights•Filling the gap between first adoption and final termination stage of social networking addiction.•Examing the underlying mechanism for rational use after excessive use of SNSs.•Pointing out technostress is an impetus for rational usage.Previous studies on excessive use of social networking services (SNSs) have relied on behavioral addiction theory to explain how users react when they face stress from overusing SNSs. Scholars have typically thought that users would stop using an SNS when they became addicted to the SNS and experienced stress from it. However, there seems to be a research gap between the initial adoption and the final intrusion stage of SNS usage. To fill that gap, our study uses a stimulus–organism–response paradigm to examine users' balancing mechanism for social network overuse. Based on a survey of users of social networking services in China, we found that (1) social interaction overload, invasion of work, and invasion of privacy had significant positive impact on technostress; (2) perceived usefulness of SNSs, perceived enjoyment of SNSs, and technostress had significant positive impact on rational usage; (3) social interaction overload had a negative impact on perceived performance, and invasion of privacy had a negative impact on performance and happiness. This paper contributes to the social networking overuse literature by highlighting the mechanism by which technostress elicits the rational use of SNSs.",2017,https://doi.org/10.1016/j.chb.2017.04.055,"['Social networking services', 'Technostress', 'Rational use', 'Stimulus–organism–response paradigm']",Computers in Human Behavior,The balancing mechanism of social networking overuse and rational usage
25,"The present study explored the association between the intensity of social media use for customer relationship management (CRM) and the business performance satisfaction of Thai microenterprises. The survey data were collected from 217 owners of the small shops at major marketplaces in Thailand. The results from partial least square regression analysis showed that the entrepreneurs who used social media intensively for CRM tended to report higher satisfaction with their business performance. Furthermore, the results from the moderating effect analyses found that the positive relationship between social media use intensity for CRM and business performance satisfaction tended to be significantly higher for the entrepreneurs who exhibited lower levels of social competency in business, as well as for the companies that generated more sales from social media. The main findings of this research provide practical implications for microenterprise entrepreneurs. Given that communication in social media tends to involve less interpersonal interactions than face-to-face communication, using social media for CRM activities might be essential in enabling entrepreneurs with low social competency to interact with customers to improve customer satisfaction. Also, this finding implies that using social media for CRM tends to be more crucial for companies that primarily target customers who are social media users.",2017,https://doi.org/10.1016/j.apmrv.2016.10.005,"['Customer relationship management', 'Social media marketing', 'Microenterprises', 'Social competency', 'Media naturalness theory']",Asia Pacific Management Review,Social media use for CRM and business performance satisfaction: The moderating roles of social skills and social media sales intensity
