cachaca;;;;;;;;;
calculative trust;;;;;;;;;
california archaeology;;;;;;;;;
canonical correlation;;;;;;;;;
capabilities;;;;;;;;;
capability-based view;;;;;;;;;
capacidades de los medios sociales;;;;;;;;;
capacity remuneration mechanisms;;;;;;;;;
care left undone;;;;;;;;;
care processes;;;;;;;;;
caregivers;;;;;;;;;
case study;case studies;case study design;;;;;;;
cause related marketing (crm);cause-related marketing (crm);;;;;;;;
cdr data;;;;;;;;;
centrality;;;;;;;;;
ceo;;;;;;;;;
change;;;;;;;;;
channel diversity;;;;;;;;;
channel effectiveness;;;;;;;;;
channel management;;;;;;;;;
chief information officers;;;;;;;;;
china;chinese consumer;chinese text;;;;;;;
christchurch earthquake;;;;;;;;;
circular economy;;;;;;;;;
citation analysis;;;;;;;;;
city engagement;;;;;;;;;
classification;;;;;;;;;
client profile;;;;;;;;;
clinical pathways;;;;;;;;;
close relationships;;;;;;;;;
cloud;cloud computing;;;;;;;;
cloud contracts;;;;;;;;;
cloud framework;;;;;;;;;
cloud industry;;;;;;;;;
cloud integration;;;;;;;;;
cloud manufacturing;;;;;;;;;
cloud of things;;;;;;;;;
cloud platform;;;;;;;;;
cloud providers;;;;;;;;;
cloud provisioning;;;;;;;;;
cloud resource demand prediction;;;;;;;;;
cloud resource usage optimization;;;;;;;;;
cloud security;cloud security challenges;cloud security issues;;;;;;;
cloud service;cloud services;;;;;;;;
cloud service provider selection;;;;;;;;;
cloud use;cloud users;;;;;;;;
cloud-based information systems;;;;;;;;;
cloudlet completion time;;;;;;;;;
cloudsim;;;;;;;;;
cltv;;;;;;;;;
cluster analysis;clustering;;;;;;;;
cluster ensemble;;;;;;;;;
cluster-based undersampling technique;;;;;;;;;
co-created value;;;;;;;;;
co-creation;co-creation practices;;;;;;;;
co-innovation;;;;;;;;;
co-location traces;;;;;;;;;
coding;;;;;;;;;
cognitive literacy;;;;;;;;;
cognitive trust;;;;;;;;;
cognitive work analysis;;;;;;;;;
cohesion;;;;;;;;;
collaboration;;;;;;;;;
collaboration scenarios;;;;;;;;;
collaboration software;;;;;;;;;
collaboration systems;;;;;;;;;
collaborative manufacturing network (cmn);;;;;;;;;
collective inference procedures;;;;;;;;;
collective interdependence;;;;;;;;;
comics and games;;;;;;;;;
commercial activities;;;;;;;;;
commitment;;;;;;;;;
commitmenttrust theory;;;;;;;;;
communication;;;;;;;;;
communication intention;;;;;;;;;
community detection;;;;;;;;;
community promotion behavior;;;;;;;;;
community resilience;;;;;;;;;
community rewards;;;;;;;;;
community sponsor;;;;;;;;;
companies;;;;;;;;;
comparison of software architectures component;;;;;;;;;
compatibility;;;;;;;;;
competence;;;;;;;;;
competition;;;;;;;;;
competition law;;;;;;;;;
competitive advantage;;;;;;;;;
competitive intelligence;;;;;;;;;
competitive responses;;;;;;;;;
complaint theme;;;;;;;;;
complementarities;;;;;;;;;
complexity;complexity theory;;;;;;;;
comprehensibility;;;;;;;;;
computational simulation;;;;;;;;;
computational social science;;;;;;;;;
computer anxiety;;;;;;;;;
computer selfefficacy;;;;;;;;;
conceptual framework;;;;;;;;;
confianza;;;;;;;;;
configural analysis;;;;;;;;;
conflict;;;;;;;;;
conflict management;;;;;;;;;
conflict types;;;;;;;;;
conjoint analysis;;;;;;;;;
connected component;;;;;;;;;
conservation agriculture;;;;;;;;;
conspicuous consumption;;;;;;;;;
conspicuous prosocial behavior;;;;;;;;;
construction;;;;;;;;;
consultancy firm;;;;;;;;;
consumer;consumers;;;;;;;;
consumer acceptance;;;;;;;;;
consumer behavior;;;;;;;;;
consumer behaviour;;;;;;;;;
consumer conformity;;;;;;;;;
consumer engagement;;;;;;;;;
consumer insights;;;;;;;;;
consumer involvement;;;;;;;;;
consumer marketing company;;;;;;;;;
consumer perceptions;;;;;;;;;
consumer relationship management;;;;;;;;;
consumer resonance;;;;;;;;;
consumer-brand identification;;;;;;;;;
consumer-company fit;;;;;;;;;
consumer-generated content;;;;;;;;;
consumer-to-consumer;;;;;;;;;
consumers attitudes;;;;;;;;;
content analysis;content analytics;;;;;;;;
content and methodological aspect of teaching;;;;;;;;;
content pipeline;;;;;;;;;
context awareness;;;;;;;;;
context selection;;;;;;;;;
context sensitivity;;;;;;;;;
contingency theory;;;;;;;;;
contingent resource perspective;;;;;;;;;
continuance behavior;;;;;;;;;
continuance broadcasting intention;;;;;;;;;
continuance intention;;;;;;;;;
continued usage intention;;;;;;;;;
continuous adoption intention;;;;;;;;;
continuous-time markov process;;;;;;;;;
contractual;;;;;;;;;
controlled traffic farming;;;;;;;;;
convergence;;;;;;;;;
convergent validity;;;;;;;;;
cooperative assets;;;;;;;;;
copyright;;;;;;;;;
core technology;;;;;;;;;
corporate bankruptcy prediction;;;;;;;;;
corporate blog;;;;;;;;;
corporate culture;;;;;;;;;
corporate entrepreneurship (ce);;;;;;;;;
corporate governance;;;;;;;;;
corporate identity;;;;;;;;;
corporate social responsibility;;;;;;;;;
correlation analysis;;;;;;;;;
correspondence analysis;;;;;;;;;
cost;;;;;;;;;
country-specific advantages;;;;;;;;;
coupling learning;;;;;;;;;
coupling relationship;;;;;;;;;
creative industries;;;;;;;;;
creativity;;;;;;;;;
credibility;;;;;;;;;
credit union;;;;;;;;;
crew communication;;;;;;;;;
crewing;;;;;;;;;
criteria;;;;;;;;;
critical success factors (csfs);;;;;;;;;
crm adoption;;;;;;;;;
crm benefits;;;;;;;;;
crm systems;;;;;;;;;
croatian five-star hotels;;;;;;;;;
cropping systems;;;;;;;;;
cross-cultural study;;;;;;;;;
cross-fertilization;;;;;;;;;
cross-functional integration;;;;;;;;;
cross-paradigm comparison;;;;;;;;;
crowdfunding;crowdfunding platform;;;;;;;;
crowdsourcing;;;;;;;;;
cryptocurrency;;;;;;;;;
cscw;;;;;;;;;
cultural analysis;;;;;;;;;
cultural differences;;;;;;;;;
cultural heritage content;;;;;;;;;
cultural products;;;;;;;;;
culture;;;;;;;;;
customer;;;;;;;;;
customer acquisition;;;;;;;;;
customer behavior;customer behaviors;;;;;;;;
customer characteristics;;;;;;;;;
customer churn prediction;customer churn;churn prediction;churn;;;;;;
customer cooperation;;;;;;;;;
customer data;;;;;;;;;
customer demand;;;;;;;;;
customer development;;;;;;;;;
customer engagement;;;;;;;;;
customer engagement scale;;;;;;;;;
customer equity;;;;;;;;;
customer experience;;;;;;;;;
customer feedback;;;;;;;;;
customer interface;;;;;;;;;
customer lifetime value;;;;;;;;;
customer loyalty;;;;;;;;;
customer model;;;;;;;;;
customer privacy;;;;;;;;;
customer profiling;;;;;;;;;
customer profitability;;;;;;;;;
customer reference marketing;;;;;;;;;
customer referral;;;;;;;;;
customer relationship management;crm;customer relations management;customer relationship management (crm);;;;;;
customer relationship performance;;;;;;;;;
customer satisfaction;;;;;;;;;
customer satisfaction (cs);;;;;;;;;
customer secrecy strategies;;;;;;;;;
customer surveillance;;;;;;;;;
customer typology;;;;;;;;;
customer value (cv);;;;;;;;;
customer value anticipation;;;;;;;;;
customer value co-creation;;;;;;;;;
customer-dominant logic;;;;;;;;;
customer-generated content;;;;;;;;;
customers;;;;;;;;;
cyber security;;;;;;;;;
cyber-crime;;;;;;;;;
cyber-physical system;;;;;;;;;
cyberphysical system;;;;;;;;;
cynicism;;;;;;;;;
d&m is success model;;;;;;;;;
dark side of social networking;;;;;;;;;
data analysis;;;;;;;;;
data analytics;;;;;;;;;
data and text mining;;;;;;;;;
data clustering;;;;;;;;;
data consistency;;;;;;;;;
data envelopment analysis (dea);;;;;;;;;
data exchange;;;;;;;;;
data lake;;;;;;;;;
data lifecycle;;;;;;;;;
data management;;;;;;;;;
data mining;;;;;;;;;
data quality;;;;;;;;;
data quality assessment;;;;;;;;;
data quality metadata (dqm);;;;;;;;;
data quality metric;;;;;;;;;
data value chain;;;;;;;;;
data visualization;big data visualization;information visualization;visualization;;;;;;
data-driven framework;;;;;;;;;
database;databases;;;;;;;;
deactivation;;;;;;;;;
decision making;;;;;;;;;
decision process;;;;;;;;;
decision strategy;;;;;;;;;
decision support systems;;;;;;;;;
decision tree;c45;c50;;;;;;;
decision-making;decision-making process;;;;;;;;
deep acting;;;;;;;;;
deep learning;deep learning anns (dlanns);;;;;;;;
delivery of health care;;;;;;;;;
delphi method;delphi;delphi study;;;;;;;
demand chain management;;;;;;;;;
denbi;;;;;;;;;
dependence;;;;;;;;;
design intent;;;;;;;;;
design process;;;;;;;;;
design science;;;;;;;;;
desirability;;;;;;;;;
destination card;;;;;;;;;
destination marketing;;;;;;;;;
device integration;;;;;;;;;
differential diagnosis;;;;;;;;;
diffusion process;;;;;;;;;
digital;;;;;;;;;
digital content;;;;;;;;;
digital coupons;;;;;;;;;
digital creativity;;;;;;;;;
digital library;;;;;;;;;
digital marketing;;;;;;;;;
digitalization digital enablement internal branding huanyi;;;;;;;;;
direct marketing;;;;;;;;;
discrete choice;;;;;;;;;
discriminant analysis;;;;;;;;;
disease diagnosis;;;;;;;;;
disengagement;;;;;;;;;
disorder;;;;;;;;;
dispatching;;;;;;;;;
disruptive innovation;;;;;;;;;
disruptive innovation-led price;;;;;;;;;
disruptive technology;;;;;;;;;
disruptive technology adoption;;;;;;;;;
distributed collective practice toolkits;;;;;;;;;
distributed computing;;;;;;;;;
distributed project team;;;;;;;;;
doi;doi theory;;;;;;;;
domain specific application;;;;;;;;;
donation;;;;;;;;;
door-to-door delivery service;;;;;;;;;
dt;;;;;;;;;
dual process theory;;;;;;;;;
dynamic capabilities;;;;;;;;;
dynamic capabilities view;;;;;;;;;
dynamic information diffusion;;;;;;;;;
dynamic packaging;;;;;;;;;
dynamic panel data model;;;;;;;;;
e-business processes;e-business process capabilities;;;;;;;;
e-commerce;electronic commerce;;;;;;;;
e-commerce acceptance;;;;;;;;;
e-commerce success model;;;;;;;;;
e-communication;;;;;;;;;
e-crm;ecrm;ecrm features;;;;;;;
e-culture;;;;;;;;;
e-entrepreneurial organization;;;;;;;;;
e-entrepreneurial processes;;;;;;;;;
e-entrepreneurship;;;;;;;;;
e-government;egovernment;;;;;;;;
e-healthcare;;;;;;;;;
e-maintenance;;;;;;;;;
e-procurement;;;;;;;;;
e-readiness;;;;;;;;;
e-selling;;;;;;;;;
e-service quality;;;;;;;;;
e-shopping;;;;;;;;;
early design step;;;;;;;;;
economic performance;;;;;;;;;
economical skills;;;;;;;;;
economics perspective;;;;;;;;;
ecosystem theory;ecosystem;;;;;;;;
educacion superior;;;;;;;;;
effective advertising on facebook;;;;;;;;;
effectiveness;;;;;;;;;
efficiency;;;;;;;;;
efficiency motives;;;;;;;;;
egg donation;;;;;;;;;
eis implementation;;;;;;;;;
elderly;;;;;;;;;
electricity firms;;;;;;;;;
electricity markets;;;;;;;;;
electronic;;;;;;;;;
electronic banking;;;;;;;;;
electronic media;;;;;;;;;
embedded system;;;;;;;;;
embodiment;;;;;;;;;
emergency services;;;;;;;;;
emerging economies;;;;;;;;;
emerging market;;;;;;;;;
emerging market multinationals;;;;;;;;;
emotion detection;;;;;;;;;
emotional closeness;;;;;;;;;
emotional cues;;;;;;;;;
emotional exhaustion;;;;;;;;;
emotional labor;;;;;;;;;
empirical investigation;;;;;;;;;
empirical test;;;;;;;;;
employee performance;;;;;;;;;
employee proactivity;;;;;;;;;
employee relations;;;;;;;;;
employees;;;;;;;;;
employees coping strategy;;;;;;;;;
empowering stakeholders;;;;;;;;;
empowerment;;;;;;;;;
emr;;;;;;;;;
encounter;;;;;;;;;
endogenous growth theory;;;;;;;;;
energy efficiency;;;;;;;;;
engagement;;;;;;;;;
engagement behavior;;;;;;;;;
engagement dimensions;;;;;;;;;
engagement strategy;;;;;;;;;
entanglement view;;;;;;;;;
enterprise;enterprise 20;enterprise 21;;;;;;;
enterprise analysis and design;;;;;;;;;
enterprise application integration;;;;;;;;;
enterprise information system;;;;;;;;;
enterprise integration patterns;;;;;;;;;
enterprise mobile application;;;;;;;;;
enterprise modelling (em);;;;;;;;;
enterprise resource planning (erp);erp 20;erp ii;erp systems;erp post-implementation;;;;;
enterprise simulation;;;;;;;;;
enterprise social network;enterprise social networks;enterprise social software;enterprise social software (ess);;;;;;
enterprise systems;;;;;;;;;
entrepreneurship;entrepreneurial orientation;;;;;;;;
entropy model;;;;;;;;;
environmental education;;;;;;;;;
environmental uncertainty;;;;;;;;;
epidemic model;;;;;;;;;
epnet;;;;;;;;;
ethical ideology;;;;;;;;;
ethical transgression;;;;;;;;;
european union;eu;europe;;;;;;;
evaluation;;;;;;;;;
evaluation framework;;;;;;;;;
evaluation study;;;;;;;;;
event conceptualization;;;;;;;;;
event representation and modeling;;;;;;;;;
event study;events;;;;;;;;
event-based applications and benchmarking;;;;;;;;;
event-based media processing and analysis;;;;;;;;;
event-stream;;;;;;;;;
evolution;;;;;;;;;
exergames;;;;;;;;;
exhibitions;;;;;;;;;
expectation confirmation model;;;;;;;;;
expectation confirmation theory;expectancy confirmation theory;;;;;;;;
experience products;;;;;;;;;
experience sampling method;;;;;;;;;
experiential engagement;;;;;;;;;
experiential value;;;;;;;;;
explanatory and predictive models;;;;;;;;;
exponential-family random graph models (ergms);;;;;;;;;
exporting companies;;;;;;;;;
extended resource based view;;;;;;;;;
extended use;;;;;;;;;
external ict consultants;;;;;;;;;
extrinsic motivation;;;;;;;;;
eye tracking;;;;;;;;;
face;;;;;;;;;
facebook;facebook brand page;facebook marketing;facebook and twitter;;;;;;
facilitating conditions;;;;;;;;;
fan engagement;;;;;;;;;
fear of online identity theft;;;;;;;;;
feature selection;;;;;;;;;
field analysis;;;;;;;;;
fields of radical innovation;;;;;;;;;
financial applications;;;;;;;;;
financial computing;;;;;;;;;
financial institutions;;;;;;;;;
financial outlook;;;;;;;;;
financial performance;;;;;;;;;
financial ratios;;;;;;;;;
financial services;;;;;;;;;
financial services regulation;;;;;;;;;
fintech;;;;;;;;;
firm generated content;;;;;;;;;
firm growth;;;;;;;;;
firm performance;;;;;;;;;
firm strategies;;;;;;;;;
firm undervaluation;;;;;;;;;
firm-specific advantages;;;;;;;;;
flight deck;;;;;;;;;
flight simulator;;;;;;;;;
flintstones;;;;;;;;;
flow;;;;;;;;;
flow theory;;;;;;;;;
food retailer;;;;;;;;;
forecasting methods;;;;;;;;;
foreign direct investment;;;;;;;;;
forensic accounting;;;;;;;;;
foresight support system for medical industry;;;;;;;;;
forex rate prediction;;;;;;;;;
formal and informal security;;;;;;;;;
formal methods;;;;;;;;;
forums and communities;;;;;;;;;
framework;;;;;;;;;
framing effect;;;;;;;;;
fraud;;;;;;;;;
freedom of information (foi);;;;;;;;;
freight;;;;;;;;;
friendship;;;;;;;;;
fun;;;;;;;;;
funding intention;;;;;;;;;
future challenges;;;;;;;;;
future intention;;;;;;;;;
fuzzy grey situation decision-making algorithm;;;;;;;;;
fuzzy logic;;;;;;;;;
fuzzy-set;fuzzy sets;;;;;;;;
galaxy;;;;;;;;;
gambling;;;;;;;;;
game business performance;;;;;;;;;
games business factors;;;;;;;;;
gamification;;;;;;;;;
gender;;;;;;;;;
gender differences;gender gap;;;;;;;;
gendered self-construal;;;;;;;;;
general aviation;;;;;;;;;
geographic information systems;;;;;;;;;
gibrats law;;;;;;;;;
global engineering services (ges);;;;;;;;;
global project management;;;;;;;;;
global reporting initiative;;;;;;;;;
going private;;;;;;;;;
government websites;;;;;;;;;
graph cellular automaton;;;;;;;;;
graph mining;;;;;;;;;
greece;;;;;;;;;
gross operating profit;;;;;;;;;
group buying;;;;;;;;;
group discovery;;;;;;;;;
guanxi;;;;;;;;;
habitual use;;;;;;;;;
hadoop;;;;;;;;;
halal;;;;;;;;;
halford mackinder;;;;;;;;;
harbor container terminal;;;;;;;;;
hdfs;;;;;;;;;
health;;;;;;;;;
health care;healthcare;;;;;;;;
health care rationing;;;;;;;;;
health communication;;;;;;;;;
health information systems;;;;;;;;;
health services;;;;;;;;;
health status;;;;;;;;;
healthcare quality;;;;;;;;;
heritage management;;;;;;;;;
hierarchical modeling;;;;;;;;;
higher education;;;;;;;;;
higher order thinking;;;;;;;;;
historical development;;;;;;;;;
homophily;;;;;;;;;
horizon report;;;;;;;;;
horizontal management;;;;;;;;;
hospitality and tourism;hospitality;hospitality industry;;;;;;;
hospitality service failure;;;;;;;;;
hotel booking;;;;;;;;;
hotel chains;;;;;;;;;
hotel industry;;;;;;;;;
hotel management;;;;;;;;;
hotel marketing;;;;;;;;;
hotel performance;;;;;;;;;
hotel resources;;;;;;;;;
hotel sector;;;;;;;;;
hotel web sites;;;;;;;;;
hotels;;;;;;;;;
hr architecture;;;;;;;;;
human capital measurement;;;;;;;;;
human immersion;;;;;;;;;
human learning;;;;;;;;;
human-based computation;;;;;;;;;
human-environment interactions;;;;;;;;;
humancomputer interaction;humancomputer interaction;;;;;;;;
humor;;;;;;;;;
hunter-gatherer mobility;;;;;;;;;
hybrid;;;;;;;;;
hybrid algorithm;;;;;;;;;
hybrid approach;;;;;;;;;
hybrid integration;;;;;;;;;
hybrid organisation;;;;;;;;;
ict adoption;;;;;;;;;
idealism;;;;;;;;;
ideation;;;;;;;;;
identity management;;;;;;;;;
identity matching;;;;;;;;;
identity theft;;;;;;;;;
iiie;;;;;;;;;
image;;;;;;;;;
image analysis;photo analysis;;;;;;;;
image forgery;;;;;;;;;
image tagging;;;;;;;;;
imbalance data;imbalanced data;;;;;;;;
impact-asymmetry analysis;;;;;;;;;
impacts of information technology;impact of is use;;;;;;;;
implementation;implementations;;;;;;;;
implementation of bpm;;;;;;;;;
importation and transposition of logics;;;;;;;;;
impression management;;;;;;;;;
in-kind reward;;;;;;;;;
in-store communications;;;;;;;;;
independence;;;;;;;;;
independent cascade model;;;;;;;;;
india;;;;;;;;;
indicators;;;;;;;;;
individuals;;;;;;;;;
indoor localization;;;;;;;;;
industrial buying;;;;;;;;;
industrial information integration;;;;;;;;;
industrial marketing;;;;;;;;;
industrial sector;;;;;;;;;
industry 40;;;;;;;;;
inequality;;;;;;;;;
influence maximization;;;;;;;;;
influence measure;;;;;;;;;
influence processes;;;;;;;;;
influential users;;;;;;;;;
informal and formal management;;;;;;;;;
informal care;;;;;;;;;
informal interaction;;;;;;;;;
informal learning recognition;;;;;;;;;
informal organisation;;;;;;;;;
informatics-based service;;;;;;;;;
information communication technology;information and communication technologies;information and communication technologies (ict);ict;information technology;it;;;;
information exchange;information sharing;;;;;;;;
information integration;;;;;;;;;
information processes;;;;;;;;;
information quality;;;;;;;;;
information search;;;;;;;;;
information security;information security management;information security risk management;;;;;;;
information sources;;;;;;;;;
information system success model;;;;;;;;;
information systems;information technology/systems;;;;;;;;
information systems development;;;;;;;;;
information technology outsourcing;;;;;;;;;
information technology resource;;;;;;;;;
information-sharing continuance;;;;;;;;;
informational and normative influence;;;;;;;;;
informational/emotional support;;;;;;;;;
infrastructure;;;;;;;;;
innovation;innovations;;;;;;;;
innovation adoption;;;;;;;;;
innovation assimilation;;;;;;;;;
innovation co-creation;;;;;;;;;
innovation management strategies;;;;;;;;;
innovation oriented organization;;;;;;;;;
innovation projects;;;;;;;;;
innovation translation theory;;;;;;;;;
innovative management;;;;;;;;;
innovative performance;;;;;;;;;
innovativeness;;;;;;;;;
inside-out marketing capability;;;;;;;;;
institutional isomorphism;;;;;;;;;
institutional logic;institutional logics;;;;;;;;
institutional pressure;;;;;;;;;
institutional theory;;;;;;;;;
instrumental variables;;;;;;;;;
intangibility;;;;;;;;;
integrated development environments;;;;;;;;;
integrated marketing communications;;;;;;;;;
integrated production and transportation;;;;;;;;;
integrated solution;integrated solutions;;;;;;;;
integration;;;;;;;;;
intelligent manufacturing;;;;;;;;;
intelligent transportation systems;;;;;;;;;
intention;;;;;;;;;
intentions to write online reviews;;;;;;;;;
inter-action intensity;;;;;;;;;
inter-team collaboration;;;;;;;;;
inter-unit projects;;;;;;;;;
interaction;;;;;;;;;
interaction learning;;;;;;;;;
interdependence;;;;;;;;;
interdisciplinarity;;;;;;;;;
interfirm network analysis;;;;;;;;;
internalization theory;;;;;;;;;
international;;;;;;;;;
international entrepreneurship;;;;;;;;;
internationalization motivation typology;;;;;;;;;
internationalization of emerging market firms;;;;;;;;;
internet;;;;;;;;;
internet marketing;;;;;;;;;
internet of things;internet of things (iot);iot;;;;;;;
internet research;;;;;;;;;
internet shoppers;;;;;;;;;
interoperability;;;;;;;;;
interorganizational learning;;;;;;;;;
interorganizational trust;;;;;;;;;
interpretation of cues;;;;;;;;;
interpretive structural modelling;;;;;;;;;
intra-firm diffusion;;;;;;;;;
intra-team relationships;;;;;;;;;
intranet 20 implementation;;;;;;;;;
intrinsic motivation;;;;;;;;;
inverted ant colony optimization algorithm;;;;;;;;;
investment;;;;;;;;;
investments;;;;;;;;;
invisibility learning;;;;;;;;;
involvement willingnes;;;;;;;;;
iress;;;;;;;;;
is continuance;;;;;;;;;
is success;;;;;;;;;
is-continuance theory;;;;;;;;;
issue labels;;;;;;;;;
issues;;;;;;;;;
it acceptance;;;;;;;;;
it adoption;;;;;;;;;
it business value;;;;;;;;;
it capability;;;;;;;;;
it competence;;;;;;;;;
it culture;;;;;;;;;
it governance;;;;;;;;;
it needs;;;;;;;;;
it strategy;;;;;;;;;
italian destination;;;;;;;;;
iterative formative research;;;;;;;;;
job outcomes;;;;;;;;;
joint venture;;;;;;;;;
jordan;;;;;;;;;
just culture;;;;;;;;;
k-means clustering;;;;;;;;;
k-nearest neighbor;k-nearest neighbours (knn);knn;nearest neighbor;;;;;;
kam;;;;;;;;;
kano;;;;;;;;;
kansei engineering;;;;;;;;;
kets;;;;;;;;;
key account management;key account managers;;;;;;;;
kibs;;;;;;;;;
kinship;;;;;;;;;
knime;;;;;;;;;
knowledge;;;;;;;;;
knowledge acquisition;;;;;;;;;
knowledge acquisition from social media;;;;;;;;;
knowledge adoption;;;;;;;;;
knowledge contribution;;;;;;;;;
knowledge creation mode;;;;;;;;;
knowledge creation performance;;;;;;;;;
knowledge creation process;;;;;;;;;
knowledge discovery in databases;;;;;;;;;
knowledge extraction;;;;;;;;;
knowledge fusion;;;;;;;;;
knowledge integration;;;;;;;;;
knowledge management;;;;;;;;;
knowledge management capability;;;;;;;;;
knowledge management systems;;;;;;;;;
knowledge representation and reasoning;;;;;;;;;
knowledge requirements;;;;;;;;;
knowledge seeking;;;;;;;;;
knowledge sharing;;;;;;;;;
knowledge structures;;;;;;;;;
knowledge-based view;;;;;;;;;
knwoledge base;;;;;;;;;
label transfer;;;;;;;;;
large scale simulations for apis;;;;;;;;;
largescale data;;;;;;;;;
las vegas;;;;;;;;;
late payment prediction;;;;;;;;;
latent semantic analysis;;;;;;;;;
later use;;;;;;;;;
latinos;;;;;;;;;
lcp segmentation;;;;;;;;;
lean pss;;;;;;;;;
learning analytics;;;;;;;;;
learning culture;;;;;;;;;
learning orientation;;;;;;;;;
legal view of agency theory;;;;;;;;;
legitimacy;;;;;;;;;
lexica creation;;;;;;;;;
lift;;;;;;;;;
light-weight semantics;;;;;;;;;
linear discriminant analysis (lda);;;;;;;;;
linear threshold model;;;;;;;;;
linked data;;;;;;;;;
linked open data;;;;;;;;;
linkedin;;;;;;;;;
literature review;;;;;;;;;
literature survey;survey of the literature;;;;;;;;
live streamer;;;;;;;;;
live streaming;;;;;;;;;
load balancing;;;;;;;;;
local government;;;;;;;;;
location-based services;;;;;;;;;
logistic regression;;;;;;;;;
logit leaf model;;;;;;;;;
logit model;;;;;;;;;
long tail;;;;;;;;;
long-term;;;;;;;;;
longitudinal studies;;;;;;;;;
low-cost airline business model;;;;;;;;;
low-cost carriers;;;;;;;;;
loyalty;;;;;;;;;
loyalty intentions;;;;;;;;;
luxury;;;;;;;;;
machine learning;;;;;;;;;
machine learning of syntactic parse trees;;;;;;;;;
machine-to-machine;;;;;;;;;
macro-structures;;;;;;;;;
magic lantern;;;;;;;;;
make-to-xgrade;;;;;;;;;
maladaptive technology dependence;;;;;;;;;
malaysia;;;;;;;;;
management;;;;;;;;;
